id,tenure,type
dwu-981,owned,bung-semi-cavity-4
dwu-982,owned,house-det-cavity-3
dwu-983,owned,house-det-cavity-6+
dwu-984,owned,house-semi-cavity-3
dwu-985,owned,bung-det-cavity-4
dwu-988,owned,house-semi-cavity-3
dwu-991,owned,house-mid-cavity-4
dwu-992,owned,bung-semi-cavity-3
dwu-993,owned,house-semi-cavity-3
dwu-994,owned,house-semi-solid-3
dwu-997,owned,house-semi-cavity-2
dwu-998,owned,house-semi-cavity-3
dwu-999,owned,bung-semi-cavity-2
dwu-1001,owned,bung-det-cavity-4
dwu-1002,owned,bung-det-cavity-3
dwu-1005,owned,house-semi-cavity-3
dwu-1011,owned,house-semi-solid-3
dwu-1012,owned,house-semi-cavity-3
dwu-1016,owned,house-mid-cavity-3
dwu-1020,owned,house-det-solid-4
dwu-1022,owned,house-semi-cavity-4
dwu-1025,owned,house-det-cavity-4
dwu-1027,owned,bung-semi-cavity-3
dwu-1032,owned,house-semi-cavity-3
dwu-1033,owned,house-semi-cavity-4
dwu-1040,owned,bung-det-cavity-4
dwu-1045,owned,house-det-cavity-3
dwu-1047,owned,house-det-cavity-5
dwu-1056,owned,house-semi-cavity-3
dwu-1060,owned,house-det-cavity-5
dwu-1066,owned,bung-det-cavity-4
dwu-1093,owned,bung-det-cavity-4
dwu-1096,owned,house-semi-cavity-3
dwu-1103,owned,house-semi-cavity-4
dwu-4200,owned,flat-non-top-solid-1
dwu-5100,owned,flat-non-top-cavity-2
dwu-10700,owned,bung-det-solid-4
dwu-11500,rented,flat-non-top-cavity-2
dwu-14300,owned,house-semi-solid-3
dwu-14800,rented,flat-non-top-cavity-1
dwu-23900,owned,house-semi-solid-4
dwu-26400,owned,house-mid-cavity-3
dwu-27600,rented,flat-non-top-cavity-1
dwu-28400,owned,house-semi-cavity-2
dwu-28500,rented,flat-non-top-cavity-1
dwu-28700,rented,flat-non-top-cavity-2
dwu-29000,owned,house-semi-cavity-3
dwu-30100,rented,flat-non-top-cavity-2
dwu-30300,owned,flat-top-solid-2
dwu-31400,owned,flat-non-top-solid-2
dwu-31600,owned,flat-non-top-solid-1
dwu-33200,rented,house-end-cavity-2
dwu-33800,owned,house-semi-solid-3
dwu-33900,owned,flat-top-cavity-1
dwu-34300,owned,flat-top-solid-4
dwu-34400,owned,flat-non-top-solid-3
dwu-34700,rented,flat-non-top-cavity-2
dwu-40800,owned,house-semi-solid-5
dwu-47500,owned,house-det-cavity-4
dwu-50300,owned,flat-top-cavity-3
dwu-50500,rented,flat-non-top-cavity-1
dwu-50700,owned,house-end-solid-4
dwu-51500,owned,house-semi-solid-4
dwu-53200,owned,flat-non-top-solid-2
dwu-53600,rented,flat-non-top-cavity-3
dwu-54300,owned,flat-non-top-cavity-1
dwu-54700,rented,flat-non-top-solid-1
dwu-55300,rented,flat-non-top-cavity-1
dwu-55600,owned,flat-top-solid-2
dwu-55900,owned,flat-top-solid-3
dwu-56000,owned,flat-top-solid-2
dwu-58400,owned,flat-top-cavity-2
dwu-59200,owned,flat-top-cavity-2
dwu-59300,rented,flat-non-top-cavity-2
dwu-60200,owned,flat-top-solid-4
dwu-78700,owned,house-mid-solid-4
dwu-89900,owned,house-semi-cavity-3
dwu-90000,owned,bung-det-cavity-2
dwu-90100,owned,house-det-cavity-5
dwu-90200,owned,house-semi-cavity-3
dwu-90600,owned,bung-det-cavity-3
dwu-90700,owned,house-det-cavity-4
dwu-90900,owned,bung-det-cavity-4
dwu-91800,owned,house-det-cavity-5
dwu-92000,owned,house-semi-cavity-3
dwu-93300,owned,bung-det-cavity-3
dwu-93700,owned,house-semi-cavity-3
dwu-93800,owned,bung-det-solid-4
dwu-93900,owned,house-det-cavity-4
dwu-94700,owned,house-semi-cavity-3
dwu-96400,owned,house-det-cavity-3
dwu-96600,owned,flat-non-top-solid-2
dwu-96700,owned,house-semi-cavity-3
dwu-96900,owned,house-semi-cavity-3
dwu-97000,owned,house-semi-cavity-3
dwu-97100,owned,bung-semi-cavity-4
dwu-97700,owned,bung-semi-cavity-3
dwu-98000,owned,house-semi-cavity-3
dwu-98100,owned,bung-semi-cavity-4
dwu-98200,owned,house-det-cavity-3
dwu-98300,owned,house-det-cavity-6+
dwu-98400,owned,house-semi-cavity-3
dwu-98500,owned,bung-det-cavity-4
dwu-98800,owned,house-semi-cavity-3
dwu-99100,owned,house-mid-cavity-4
dwu-99200,owned,bung-semi-cavity-3
dwu-99300,owned,house-semi-cavity-3
dwu-99400,owned,house-semi-solid-3
dwu-99700,owned,house-semi-cavity-2
dwu-99800,owned,house-semi-cavity-3
dwu-99900,owned,bung-semi-cavity-2
dwu-100100,owned,bung-det-cavity-4
dwu-100200,owned,bung-det-cavity-3
dwu-100500,owned,house-semi-cavity-3
dwu-101100,owned,house-semi-solid-3
dwu-101200,owned,house-semi-cavity-3
dwu-101600,owned,house-mid-cavity-3
dwu-102000,owned,house-det-solid-4
dwu-102200,owned,house-semi-cavity-4
dwu-102500,owned,house-det-cavity-4
dwu-102700,owned,bung-semi-cavity-3
dwu-103200,owned,house-semi-cavity-3
dwu-103300,owned,house-semi-cavity-4
dwu-104000,owned,bung-det-cavity-4
dwu-104500,owned,house-det-cavity-3
dwu-104700,owned,house-det-cavity-5
dwu-105600,owned,house-semi-cavity-3
dwu-106000,owned,house-det-cavity-5
dwu-106600,owned,bung-det-cavity-4
dwu-109300,owned,bung-det-cavity-4
dwu-109600,owned,house-semi-cavity-3
dwu-110300,owned,house-semi-cavity-4
