id,tenure,type
dwu-996,owned,house-semi-cavity-3
dwu-1000,owned,house-semi-cavity-3
dwu-1004,owned,house-semi-cavity-3
dwu-1006,owned,house-semi-cavity-4
dwu-1007,owned,house-semi-cavity-3
dwu-1013,owned,house-semi-solid-3
dwu-1014,owned,bung-det-cavity-2
dwu-1015,owned,house-det-cavity-5
dwu-1017,owned,bung-det-cavity-6+
dwu-1019,owned,house-det-cavity-6+
dwu-1021,owned,bung-semi-cavity-4
dwu-1024,rented,bung-semi-cavity-2
dwu-1026,owned,house-semi-cavity-3
dwu-1028,owned,bung-semi-cavity-3
dwu-1031,owned,house-semi-cavity-3
dwu-1034,owned,bung-semi-cavity-3
dwu-1036,owned,bung-semi-cavity-3
dwu-1038,owned,bung-semi-cavity-2
dwu-1039,owned,house-mid-cavity-2
dwu-1042,owned,house-semi-cavity-3
dwu-1044,owned,bung-semi-cavity-2
dwu-1046,owned,house-semi-solid-4
dwu-1050,owned,bung-det-cavity-3
dwu-1053,owned,house-det-cavity-4
dwu-1055,owned,house-semi-cavity-3
dwu-1058,owned,house-semi-cavity-3
dwu-1072,owned,flat-non-top-cavity-2
dwu-2900,owned,house-semi-solid-3
dwu-4600,owned,flat-top-solid-1
dwu-9300,owned,house-end-solid-3
dwu-9800,owned,flat-non-top-cavity-1
dwu-10400,rented,flat-non-top-cavity-2
dwu-16000,owned,flat-non-top-solid-2
dwu-22800,owned,house-det-solid-5
dwu-23000,rented,flat-non-top-cavity-1
dwu-23600,owned,house-semi-solid-3
dwu-23700,owned,house-semi-cavity-3
dwu-25500,owned,house-semi-solid-2
dwu-25600,owned,house-end-solid-5
dwu-25700,owned,house-end-cavity-1
dwu-27400,rented,flat-non-top-solid-1
dwu-28800,owned,flat-non-top-cavity-2
dwu-28900,rented,flat-non-top-cavity-1
dwu-29500,owned,house-det-cavity-3
dwu-29600,owned,house-end-solid-4
dwu-31200,owned,house-mid-solid-3
dwu-31900,owned,flat-non-top-solid-3
dwu-34800,rented,flat-non-top-solid-1
dwu-39200,owned,house-semi-cavity-4
dwu-39600,owned,house-semi-solid-3
dwu-40000,owned,flat-non-top-cavity-2
dwu-40300,owned,flat-non-top-cavity-3
dwu-40600,owned,flat-non-top-solid-1
dwu-42000,owned,flat-top-cavity-3
dwu-42200,owned,house-det-cavity-4
dwu-42500,owned,bung-semi-solid-4
dwu-42800,owned,flat-non-top-cavity-1
dwu-48500,owned,bung-semi-cavity-3
dwu-48700,owned,flat-top-cavity-2
dwu-49400,owned,flat-non-top-cavity-2
dwu-49900,owned,house-mid-cavity-3
dwu-51700,owned,house-semi-cavity-2
dwu-52800,owned,flat-non-top-solid-2
dwu-54900,owned,house-semi-cavity-3
dwu-55000,owned,house-semi-cavity-4
dwu-55100,owned,house-det-solid-3
dwu-55500,owned,flat-non-top-cavity-2
dwu-56500,owned,house-semi-cavity-3
dwu-56800,owned,flat-non-top-solid-2
dwu-60500,owned,flat-top-solid-1
dwu-63500,owned,flat-non-top-solid-1
dwu-64500,owned,house-semi-cavity-5
dwu-89800,owned,bung-semi-cavity-3
dwu-90400,owned,bung-det-cavity-4
dwu-90500,rented,bung-semi-cavity-2
dwu-91100,owned,bung-det-cavity-2
dwu-91300,owned,bung-det-cavity-3
dwu-91500,rented,house-semi-cavity-1
dwu-91900,owned,house-semi-cavity-2
dwu-94000,owned,bung-det-cavity-2
dwu-94100,owned,house-det-cavity-4
dwu-94600,owned,bung-det-cavity-3
dwu-94800,owned,house-det-cavity-3
dwu-95500,owned,house-mid-solid-2
dwu-95700,owned,house-semi-cavity-3
dwu-95800,owned,house-det-cavity-4
dwu-95900,owned,house-semi-cavity-3
dwu-96200,owned,house-semi-cavity-4
dwu-96300,owned,house-end-cavity-3
dwu-96500,owned,bung-det-cavity-3
dwu-97200,owned,house-end-solid-4
dwu-97300,owned,house-det-cavity-4
dwu-97600,owned,house-semi-cavity-3
dwu-97900,owned,house-det-cavity-4
dwu-98600,owned,bung-semi-cavity-3
dwu-98700,owned,house-end-solid-6+
dwu-98900,owned,bung-det-cavity-4
dwu-99000,owned,bung-det-cavity-3
dwu-99600,owned,house-semi-cavity-3
dwu-100000,owned,house-semi-cavity-3
dwu-100400,owned,house-semi-cavity-3
dwu-100600,owned,house-semi-cavity-4
dwu-100700,owned,house-semi-cavity-3
dwu-101300,owned,house-semi-solid-3
dwu-101400,owned,bung-det-cavity-2
dwu-101500,owned,house-det-cavity-5
dwu-101700,owned,bung-det-cavity-6+
dwu-101900,owned,house-det-cavity-6+
dwu-102100,owned,bung-semi-cavity-4
dwu-102400,rented,bung-semi-cavity-2
dwu-102600,owned,house-semi-cavity-3
dwu-102800,owned,bung-semi-cavity-3
dwu-103100,owned,house-semi-cavity-3
dwu-103400,owned,bung-semi-cavity-3
dwu-103600,owned,bung-semi-cavity-3
dwu-103800,owned,bung-semi-cavity-2
dwu-103900,owned,house-mid-cavity-2
dwu-104200,owned,house-semi-cavity-3
dwu-104400,owned,bung-semi-cavity-2
dwu-104600,owned,house-semi-solid-4
dwu-105000,owned,bung-det-cavity-3
dwu-105300,owned,house-det-cavity-4
dwu-105500,owned,house-semi-cavity-3
dwu-105800,owned,house-semi-cavity-3
dwu-107200,owned,flat-non-top-cavity-2
